0	0		
1	1		
2	3	
3	4	
4	5	
5	6	
6	2	0
7	2	1
8	2	2
9	2	3
10	2	4
11	2	5
12	2	6
13	2	7
14	2	8
15	2	9
16	2	10
17	2	11
18	2	12
19	2	13
20	2	14
21	2	15
22	2	16
23	2	17
24	2	18
25	2	19
26	2	20
27	2	21
28	2	22
29	2	23
30	2	24
31	2	25
32	2	26
33	2	27
34	2	28
35	2	29
36	2	30
37	2	31
38	2	32
39	2	33
40	2	34
41	2	35
42	2	36
43	2	37
44	2	38
45	2	39
46	2	40
47	2	41
48	2	42
49	2	43
50	2	44
51	2	45
52	2	46
53	2	47
54	2	48
55	7	
56	8	
57	9	
58	10	
59	11	
60	12	
61	13	
62	14	
63	15	
64	16	
65	17	
66	18	
67	19	
68	20	
